Australia,Austria,Belgium,Channel Islands,Cyprus,Denmark,EIRE,Finland,France,Germany,Greece,Italy,Japan,Netherlands,Spain,Sweden,Switzerland,USA,United Kingdom,Unspecified
,,,,,48.0,,,,,,,,,,,,,226.0,
,,,,,,,,,,,,,,,,,,39.0,
,,,,,,,,,,,,,,,,,,28.0,
,,,,10.0,,150.0,,,,,,,,,,,,13.0,
,,,,,,210.0,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,67.0,
,,,,,,,,,,,,,,,,,,-20.0,
,,,,,,,,,,,,,,,,,,117.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,,363.0,
,,,,,,,,,,,,,,,,,,475.0,
,,,,10.0,,,,,,,,,,,,,,14.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,193.0,
,,,,,,,,,,,,,,,,,,24.0,
,,,,,,,,,,,,,,,,,,3030.0,
,,,,,,,,,,,,,,,,,,53.0,
,,,,,,,,,,,,,,,,,,20.0,
,,,,,,,,,,,,,,,,,,1800.0,
,,,,,,,,,,,,,,,,,,24.0,
,,,,,6144.0,,,,,,,,,,,,,-1128.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,142.0,
,,,,,,,,,,,,,,,,,,28.0,
,,,,,,,,24.0,,,,,,,,,,603.0,
,,,,,,,,,,,,,,,,,,868.0,
,,,,,866.0,,,,,,,,,,,,,-375.0,
,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,12.0,,,,,,,,,,,,113.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,10.0,
,,,,,,,,12.0,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,96.0,
,,,,,,,,,,,,,,,,,,163.0,
,,,,,,,,,,,,,,,,,,100.0,
,,,,,,,,30.0,30.0,,,,,,,,,230.0,
,,,,,,,,,,,,,,,,,,63.0,
,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,-40.0,
,,,,,864.0,,,,,,,,,,,,,-90.0,
,,,,,,,,,,,,,,,,,,216.0,
,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,1303.0,
,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,504.0,
,,,,,,,,,,,,,,,,,,131.0,
,,,,,,,,,,,,,,,,,,-1198.0,
,,,,,,,,,,,,,,,,,,583.0,
,,,,,,,,,,,,,,,,,,13.0,
,,,,,,,,,,,,,,,,,,22.0,
,,,,,,,,,,,,,,,,,,17.0,
,,,,,,,,6.0,,,,,,,,,,95.0,
,,,,,,,,,,,,,,,,,,36.0,
,,,,,,6.0,,,,,,,,,,,,13.0,
,,,,,,,,,,,,,,12.0,,,,37.0,
,,,,,,,,,,,,,,,,,,58.0,
,,,,,,,,,,,,,,,,,,10.0,
,,,,,,,,,,,,,,,,,,189.0,
,,,,,,,,,,,,,,,,,,11.0,
,,,,,,,,12.0,12.0,,,,,,,,,183.0,
,,,,,,,,,12.0,,,,,,,,,41.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,24.0,,,,13.0,
,,,,,,,,,,,,,100.0,,,,,165.0,
,,,,,,24.0,,,36.0,,,,,24.0,,,,72.0,
,,,,,,,,,,,,,,,,,,17.0,
,,,,,,,,,,,,,,24.0,,,,1.0,
,,6.0,,,,,,12.0,,,,,,,,,,12.0,
,,,,,,,,,,,,,,24.0,,,,6.0,
,,,,,,,,,,,,,,12.0,,,,,
,,,,,,,,,,,,,,,,,,1.0,
,,12.0,,,,,6.0,6.0,17.0,,,,,24.0,,,,42.0,
,,,,,,,,,,,,,,,,,,13.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,376.0,
,,,,,,,,,,,,,,,,,,85.0,
,,,,,,,,,,,,,,,,,,7.0,
,,,,,,,,,,,,,,,,,,18.0,
,,,,,,,,,,,,,,,,,,60.0,
,,,,,,,,,,,,,,,,,,6.0,
,16.0,,,,,,,8.0,8.0,,,,,,,,,73.0,
,16.0,,,,,,,8.0,24.0,,,,,,,16.0,,150.0,
,16.0,,,,,,,8.0,32.0,,,,,,,16.0,,214.0,
,16.0,,,,,,,8.0,32.0,,,,,,,,,273.0,
,,,,3.0,,27.0,,15.0,9.0,,,,,,,,,1139.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,72.0,6.0,6.0,6.0,,,,,,,,,47.0,
,,,,,,66.0,6.0,18.0,17.0,,,,,,,,,65.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,6.0,6.0,,,,,,,,,15.0,
,,,,,,190.0,,,2.0,10.0,,,,8.0,,,,434.0,1.0
,,,,,,,,12.0,,,,,,,,,,38.0,
,,,,,,,,,,,,,,,,,,-476.0,
,,,,,,,,,,,,,,,,,,28.0,
,,,,,,,,,,,,,,,,,,20.0,
,,,,,,,,,3.0,,,,48.0,12.0,,,,50.0,
,,,,,,,,,,,,,,,,,,10.0,
,,,,,,,,,,,,,,,,,,44.0,
,,,,,,,,,,,,,,,,,,53.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,15.0,
,,,,,,,,,,,,,,,,,,194.0,
,,,,,,,,,,,,,,,,,,193.0,
,,,,,,,,,6.0,,,,,,,,,21.0,
,,,,,,,,,,,,,,,,,,17.0,
,,,,,,,,,,,,,,,,,,59.0,
,,,,,,,,,,,,,,,,,,37.0,
,,,,,,24.0,,,,,,,192.0,,,,,41.0,
,,,,,,,,,,,,,,,,,,413.0,
,,,,,,,,20.0,40.0,,,,500.0,,,,,485.0,
,,,,,,,,10.0,10.0,,,,100.0,,,,,623.0,
,,,,,,,,,,,,,200.0,,,,,-55.0,
,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,10.0,,,10.0,,,20.0,,,,63.0,
10.0,,,,,,410.0,,10.0,10.0,,10.0,,,20.0,,,,178.0,
,,,,,,400.0,,30.0,20.0,,,,200.0,20.0,,,,331.0,
,,10.0,,,,,,20.0,90.0,,,,600.0,10.0,,,,223.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,30.0,30.0,,,,100.0,20.0,,,,295.0,
,,,,,,,10.0,50.0,50.0,,,,400.0,40.0,,,,403.0,
,,,,,,150.0,,40.0,10.0,20.0,,,200.0,,,,,1124.0,4.0
,,,,,10.0,250.0,,40.0,40.0,,,,300.0,,,,,557.0,
10.0,,,,,10.0,,,10.0,,,,,,,,,,755.0,
10.0,,,,,,450.0,,30.0,20.0,,,,100.0,20.0,,,,456.0,4.0
,,,,,,,,,,,,,40.0,30.0,,,,622.0,
10.0,,,,,,,,,,10.0,,,,,,,,455.0,
,,,,,,,,,,,,,,,,,,202.0,
,,,,,,10.0,,,,,,,,,,,,22.0,
,,,,,10.0,,,,,,,,,,,,,44.0,
,,,,,,,,,,,,,,,,,,115.0,
,,,,,,,,,,,,,,,,,,298.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,10.0,,,,,,,,,,,,,42.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,18.0,,,,,,,,90.0,
,,,,,,18.0,,,,18.0,,,,,,,,1131.0,
,,,,2.0,,,,6.0,,,,,,8.0,,,,60.0,
,2.0,6.0,,,,12.0,,10.0,8.0,2.0,,,36.0,4.0,,4.0,,79.0,
,,,,,,90.0,,,12.0,,,,,24.0,,,,123.0,
,,,,,,30.0,,,,,,,,,,,,326.0,
,,,,,,12.0,,,,,,,,,,,,-187.0,
,,,,,,114.0,,6.0,12.0,,,,,,,,,214.0,
,,,,,4320.0,,,,,,,,,,,,,73.0,
,,,,,5280.0,,,,,,,,,,,,,50.0,
,,,,,4800.0,,,,,,,,,,,,,53.0,
,,,,,4800.0,,,,,,,,,,,,,60.0,
,,,,,5280.0,,,,,,,,,,,,,58.0,
,,,,,,24.0,,,,,,,,,,,,101.0,
,,,,,,,,,,,,,,,,,,31.0,
,,,,,,,,,,,,,,,,,,36.0,
,,,,,,,,,,,,,,,,,,15.0,
,,,,,,,,,,,,,,8.0,,,,113.0,
,,,,,,,,,,,,,,,,,,49.0,
,,,,,,24.0,,,,,,,,,,,,63.0,
,,,,,,6.0,,,,,,,,,,,,54.0,
,,,,,,,,,,,,,,,,,,49.0,
,,,,,,,,,,,,,,,,,,46.0,
,,,,,,,,,,,,,,12.0,,,,123.0,
,,,,,,6.0,,,,,,,,,,,,72.0,
,,,,,,30.0,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,,40.0,
,,,,,,,,,,,,,,,,,,28.0,
,,,,,,,,,,,,,,,,,,27.0,
,,,,,,,,,,,,,,6.0,,,,69.0,
,,,,,,,,,,,,,,,,,,48.0,
,,,,,,24.0,,,,,,,,,,,,24.0,
,,,,,,,,,,,,,,,,,,-1.0,
,,,,,,6.0,,,,,,,,,,,,64.0,
,,,,,,6.0,,,,,,,,,,,,28.0,
,,,,,,5.0,,,,,,,,,,,,27.0,
,,,,,,6.0,,,,,,,,,,,,58.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,16.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,,15.0,
,,,,,,,,,,,,,,,,,,9.0,
,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,28.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,213.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,6.0,,,,,,,,,,,,514.0,
,,,,,,,,,,,,,,,,,,106.0,
,,,,,,,,,,,,,,,,,,7.0,
,,,,,,24.0,,,,,,,,,,,,8.0,
,,,,,,,,,,,,,,,,,,161.0,
,,,,,,,,,,,,,,,,,,6.0,
,,,,6.0,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,-4.0,
,,,,2.0,,,,,,,,,,,,,,30.0,
,,,,,,,,,,,,,,,,,,25.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,28.0,
,,,,,,,,,,,,,,,,,,8.0,
,,,,,,,,,,,,,,,,,,14.0,
,,,,,,,,,,,,,,,,,,35.0,
,,,,,,,,,,,,,,,,,,9.0,
,,,,,,,,,10.0,,,,,,,,,21.0,
,,,,,,,,,,,,,,,,,,15.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,12.0,,,,,,,,,,,,82.0,
,,,,,,12.0,,,,,,,,,,,,15.0,
,,,,,,,,,6.0,,,,,,,,,7.0,
,,,,,,12.0,,6.0,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,122.0,
,,,,,,,,,,,,,,,,,,172.0,
,,,,,,,,,,,,,,,,,,252.0,
,,,,,,,,,,,,,,,,,,247.0,
,,,,,,,,,,,,,,,,,,-27.0,
,,,,,,,,,24.0,,,,,,,,,65.0,
,,,,,,,,,,,,,,,,,,8.0,
,,,,,,,,,,,,,,,,,,27.0,
,,,,,,,,,,,,,,,,,,-23.0,
,,,,,,,,,,,,,,,,,,17.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,33.0,4.0
,,,,,,,,,,,,,,,,,,24.0,
,,,,,,,,,,,,,,,,,,298.0,
,,,,,408.0,4.0,,,,,,,,,,,,196.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,10.0,
,,,,,,,,,,,,,,,,,,13.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,16.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,4.0,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,8.0,
,,,,,,,,,,,,,,,,,,25.0,
,,,,,,6.0,,,,,,,,,,,,20.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,214.0,,,,,,,,,,,,-107.0,
,,,,,,690.0,,6.0,5.0,,,,32.0,24.0,,,,608.0,
,,,,,,,,,,,,,48.0,,,,,85.0,
,,,,,,,,,,,,,,,,,,17.0,
,,,,,,,,,,24.0,,,,,,,,45.0,
,,,,,,,,,,16.0,,,,,,,,17.0,
,,,,,,,,,,,,,,,,,,131.0,
,,,,,,,,,,,,,,,,,,100.0,
,,,,,,,,,,,,,,,,,,-170.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,144.0,,,,,231.0,
,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,18.0,
,,,,,,,,,,,,,,,,,,64.0,
,,,,,,,,,,,,,,,,,,443.0,
,,,,,,,,,,,,,,,,,,60.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,10.0,,,,,,,,,,153.0,
,,,,,,,,,,,,,,,,,,72.0,
,,,,,,,,10.0,,,,,,,,,,83.0,
,,,,,,,,,,,,,,,,,,-27.0,
,,,,,,,,10.0,,,,,,,,,,178.0,
,,,,,,,,,,,,,,8.0,,,,13.0,
,,,,,,,,,,,,,,,,,,-102.0,
,,,,,,,,,,,,,,4.0,,,,195.0,
,,,,,,,,,,,,,,,,,,218.0,
,,,,,,12.0,,,,,,,,,,,12.0,596.0,
,,,,,,12.0,,,,,,,,,,,12.0,502.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,256.0,
,,,,,,24.0,,24.0,,,,,,,,,,399.0,
,,,,,,,,24.0,,,,,,,,,,39.0,
,,,,,,,,32.0,,,,,,,,,,91.0,
,,,,,,,,16.0,,,,,,,,,,166.0,
,,,,,,128.0,,16.0,-1.0,,,,,32.0,,,,225.0,
,,,,,,,,,,,,,,,,,,38.0,3.0
,,,,,,,,,36.0,,,,,,,,,315.0,
,,,,,,,,,,,,,,,,,,152.0,
,,,,,,,,,24.0,,,,,,,,,187.0,
,,,,12.0,,,,,,,,,,,,,,301.0,
,,,,,,,,,,,,,,,,,,132.0,
,,,,,,,,,,,,,,,,,,15.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,11.0,
,,,,,,10.0,,,,,,,,,,,,198.0,
,,,,,,10.0,,,,,,,,,,,,332.0,
,,,24.0,,6768.0,24.0,,,,,,,,,,,,212.0,
,,,,,,12.0,,,,,,,,,,,,153.0,
,,,,,9312.0,12.0,,,,,,,,,,,,502.0,
,,,,,,,,,,,,,,,,,,7.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,1157.0,
,,,,6.0,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,4.0,7.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,2.0,2.0,
,,,,,,6.0,,,,,,,,,,,3.0,19.0,
,,,,,,,,,,,,,,,,,,434.0,
,,,,,,,,,,,,,,,,,,91.0,
,,,,,,,,,,,,,,,,,,66.0,
,,,,,,,,,,,,,,,,,,111.0,
,,,,,,,,,,,,,,,,,,408.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,58.0,
,,,,,,,,,,,,,,,,,,36.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,64.0,
,,,,,,,,,20.0,,,,,,,,,16.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,100.0,,,,,606.0,
,,,,,,,,,,,,,,,,,,128.0,1.0
,,,,,,,,12.0,30.0,,,,200.0,,,,,258.0,
,,,,,,,,,,,,,,,,,,7.0,
,,,,,,,,,6.0,,,,,24.0,,,,50.0,
,,,,6.0,,,,12.0,,,6.0,,,,,,,144.0,
,,,,,,12.0,,,6.0,,,,12.0,,,,,316.0,
,,,,,,12.0,,3.0,,,,,,,,,,156.0,
,,,,,,,,,,,,,,,,,,64.0,
,,,,,,6.0,,,,48.0,,,,,,,,13.0,
,,,,,,7.0,,5.0,,,,,,,,,,19.0,
,,,,,,,,4.0,,,,,,,,,,16.0,
,,,,,,7.0,,,,,,,,,,,,16.0,
,,12.0,,,,,,48.0,12.0,,,,48.0,,,,,70.0,
,,,,,,24.0,,,12.0,,,,,,,,,56.0,
,,,,,,12.0,,,,,,,,,,,,10.0,
,,,,,,12.0,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,52.0,
,,,,,,24.0,,,,,,,,,,,,23.0,
,,,,,,,,24.0,,,,,,,,,,24.0,
,,,,,,,,,,,,,,,,,,11.0,
,,,,,,,,,,,,,,,,,,184.0,
,,,,,,,,,,,,,,12.0,,,,258.0,
,,,,,,12.0,,,,,,,,,,,,244.0,
,,,,,,,,,,,,,,,,,,74.0,
,,,,,,,,,,,,,,,,,,206.0,
,,,,,,,,,,,,,,,,,,83.0,
,,12.0,,,,12.0,,,,,,,,,,,,312.0,
,,12.0,,,,,,36.0,48.0,,,,384.0,,,,,35.0,
,,,,,,,,,12.0,12.0,,,,,,,,63.0,
