Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
491966,10123C,HEARTS WRAPPING TAPE ,1,2009-12-14 17:16:00,1.3,,United Kingdom
491966,15036,ASSORTED COLOURS SILK FAN,5,2009-12-14 17:16:00,1.3,,United Kingdom
491966,15044D,RED PAPER PARASOL,2,2009-12-14 17:16:00,6.04,,United Kingdom
491966,15056BL,EDWARDIAN PARASOL BLACK,1,2009-12-14 17:16:00,13.0,,United Kingdom
491966,15056N,EDWARDIAN PARASOL NATURAL,2,2009-12-14 17:16:00,13.0,,United Kingdom
491966,16051,TEATIME PENCIL W STAMP ASST,3,2009-12-14 17:16:00,0.83,,United Kingdom
491966,16162L,THE KING GIFT BAG,1,2009-12-14 17:16:00,1.3,,United Kingdom
491966,16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,1,2009-12-14 17:16:00,7.78,,United Kingdom
491966,16225,RATTLE SNAKE EGGS,2,2009-12-14 17:16:00,3.43,,United Kingdom
491966,16237,SLEEPING CAT ERASERS,1,2009-12-14 17:16:00,0.43,,United Kingdom
491966,16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,3,2009-12-14 17:16:00,0.83,,United Kingdom
491966,17039,INLAID WOOD INCENSE HOLDER,1,2009-12-14 17:16:00,0.65,,United Kingdom
491966,17129F,DEEP BLUE GLASS GEMS IN BAG,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20622,VIPPASSPORT COVER ,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20665,RED SPOTTY PURSE ,2,2009-12-14 17:16:00,6.04,,United Kingdom
491966,20674,GREEN SPOTTY BOWL,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20675,BLUE SPOTTY BOWL,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20676,RED SPOTTY BOWL,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20677,PINK SPOTTY BOWL,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20681,PINK SPOTTY CHILDS UMBRELLA,1,2009-12-14 17:16:00,6.91,,United Kingdom
491966,20685,RED SPOTTY COIR DOORMAT,3,2009-12-14 17:16:00,13.87,,United Kingdom
491966,20692,FLORAL ELEPHANT SOFT TOY,1,2009-12-14 17:16:00,8.65,,United Kingdom
491966,20695,FLORAL BLUE MONSTER,1,2009-12-14 17:16:00,8.65,,United Kingdom
491966,20711,JUMBO BAG TOYS ,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20712,JUMBO BAG WOODLAND ANIMALS,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20713,JUMBO BAG OWLS,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20718,RED SPOTTY SHOPPER BAG,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20719,WOODLAND CHARLOTTE BAG,3,2009-12-14 17:16:00,1.7,,United Kingdom
491966,20723,STRAWBERRY CHARLOTTE BAG,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,20724,RED SPOTTY CHARLOTTE BAG,7,2009-12-14 17:16:00,1.7,,United Kingdom
491966,20725,LUNCH BAG RED SPOTTY,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20726,LUNCH BAG WOODLAND,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20729,RED SPOTTY CANDY BAG,7,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20730,STRAWBERRY CANDY BAG,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20747,PICCADILLY TEA SET,2,2009-12-14 17:16:00,30.39,,United Kingdom
491966,20750, RED/WHITE DOT MINI CASES,1,2009-12-14 17:16:00,17.35,,United Kingdom
491966,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20753,RETRO PINK SPOT WASHING UP GLOVES,3,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20754,RETRO RED SPOTTY WASHING UP GLOVES,3,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20758,ABSTRACT CIRCLES POCKET BOOK,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,20774,GREEN FERN NOTEBOOK,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,20778,GARDEN PATH NOTEBOOK ,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,20780,BLACK EAR MUFF HEADPHONES,1,2009-12-14 17:16:00,11.26,,United Kingdom
491966,20782,CAMOUFLAGE EAR MUFF HEADPHONES,1,2009-12-14 17:16:00,11.26,,United Kingdom
491966,20783,HEART EAR MUFF HEADPHONES,2,2009-12-14 17:16:00,11.26,,United Kingdom
491966,20799,PINK MILKSHAKE GLASS,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20818,GOLD TEDDY BEAR,1,2009-12-14 17:16:00,7.78,,United Kingdom
491966,20845,ZINC HEART LATTICE 2 WALL PLANTER,1,2009-12-14 17:16:00,13.0,,United Kingdom
491966,20862,PINK PATCH PENCIL CASE BLUE HEART,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20865,PATCHWORK PENCIL CASE BUTTERFLY ,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20886,BOX OF 9 PEBBLE CANDLES,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20901,VINTAGE KEEPSAKE BOX PINK FLOWER,1,2009-12-14 17:16:00,13.0,,United Kingdom
491966,20906,VINTAGE NOTEBOOK BEAUTY GIRL,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,20914,SET/5 RED SPOTTY LID GLASS BOWLS,5,2009-12-14 17:16:00,6.04,,United Kingdom
491966,20934,SET/3 POT PLANT CANDLES,1,2009-12-14 17:16:00,11.26,,United Kingdom
491966,20941,FROG CANDLE,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20943,SET/6 GINGERBREAD STAR T-LIGHTS,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20950,SET/6  ANGEL T-LIGHTS WHITE/GOLD,3,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20960,WATERMELON BATH SPONGE,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20961,STRAWBERRY BATH SPONGE ,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20963,APPLE BATH SPONGE,3,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20966,SANDWICH BATH SPONGE,6,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,2009-12-14 17:16:00,7.78,,United Kingdom
491966,20971,PINK BLUE FELT CRAFT TRINKET BOX,6,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20972,PINK CREAM FELT CRAFT TRINKET BOX ,8,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20974,12 PENCILS SMALL TUBE SKULL,3,2009-12-14 17:16:00,1.3,,United Kingdom
491966,20975,12 PENCILS SMALL TUBE RED SPOTTY,3,2009-12-14 17:16:00,1.3,,United Kingdom
491966,20977,36 PENCILS TUBE WOODLAND,5,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20978,36 PENCILS TUBE SKULLS,3,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20979,36 PENCILS TUBE RED SPOTTY,4,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20980,36 PENCILS TUBE POSY,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,20981,12 PENCILS TALL TUBE WOODLAND,4,2009-12-14 17:16:00,1.7,,United Kingdom
491966,20982,12 PENCILS TALL TUBE SKULLS,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,20983,12 PENCILS TALL TUBE RED SPOTTY,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,20987,GEISHA GIRL CHOPSTICKS SET/5,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20989,URBAN CHIC CHOPSTICKS SET/5,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20990,SPRING FLOWER CHOPSTICKS SET/5,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,20991,JAZZ HEARTS MAGNETIC MEMO PAD,1,2009-12-14 17:16:00,1.3,,United Kingdom
491966,21009,ETCHED GLASS STAR TREE DECORATION,3,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21010,ETCHED GLASS BIRD TREE DECORATION,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21017,RED BIRD HOUSE TREE DECORATION,3,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21028,NINJA RABBIT BLACK,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21035,SET/2 RED SPOTTY TEA TOWELS ,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21054,NURSE'S BAG SOFT TOY,1,2009-12-14 17:16:00,17.35,,United Kingdom
491966,21067,VINTAGE RED TEATIME MUG,5,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21071,VINTAGE BILLBOARD DRINK ME MUG,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21077,SET/20 WOODLAND PAPER NAPKINS ,3,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21080,SET/20 RED SPOTTY PAPER NAPKINS ,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21086,SET/6 RED SPOTTY PAPER CUPS,2,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21098,CHRISTMAS TOILET ROLL,12,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,2,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21107,CREAM SLICE FLANNEL PINK SPOT ,3,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,4,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",1,2009-12-14 17:16:00,13.87,,United Kingdom
491966,21110,LARGE CAKE TOWEL PINK SPOTS,1,2009-12-14 17:16:00,13.87,,United Kingdom
491966,21115,ROSE CARAVAN DOORSTOP,1,2009-12-14 17:16:00,14.74,,United Kingdom
491966,21116,OWL DOORSTOP,1,2009-12-14 17:16:00,8.65,,United Kingdom
491966,21121,SET/10 RED SPOTTY PARTY CANDLES,3,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21137,BLACK RECORD COVER FRAME,1,2009-12-14 17:16:00,7.78,,United Kingdom
491966,21143,ANTIQUE GLASS HEART DECORATION ,4,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21146,ANTIQUE GLASS RIDGED HANGING BALL,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21154,RED SPOTTY OVEN GLOVE ,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21156,RED SPOTTY CHILDS APRON,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21157,RED SPOTTY WASHBAG,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21162,TOXIC AREA  DOOR HANGER ,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21164,HOME SWEET HOME METAL SIGN ,2,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21165,BEWARE OF THE CAT METAL SIGN ,6,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21173,LOO ROLL  METAL SIGN ,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21174,POTTERING IN THE SHED METAL SIGN,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21175,GIN + TONIC DIET METAL SIGN,3,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21179,NO JUNK MAIL METAL SIGN,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21181,PLEASE ONE PERSON  METAL SIGN,3,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21185, HOME SWEET HOME  BLACKBOARD,1,2009-12-14 17:16:00,13.0,,United Kingdom
491966,21189,WHITE HONEYCOMB PAPER GARLAND ,4,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21192,WHITE BELL HONEYCOMB PAPER ,2,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21205,MULTICOLOUR 3D BALLS GARLAND,2,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21210,SET OF 72 RETRO SPOT PAPER  DOILIES,1,2009-12-14 17:16:00,3.04,,United Kingdom
491966,21212,PACK OF 72 RETRO SPOT CAKE CASES,9,2009-12-14 17:16:00,1.3,,United Kingdom
491966,21213,PACK OF 72 SKULL CAKE CASES,2,2009-12-14 17:16:00,1.3,,United Kingdom
491966,21215, IVORY PAPER CUP CAKE CASES ,1,2009-12-14 17:16:00,1.3,,United Kingdom
491966,21218,RED SPOTTY BISCUIT TIN,1,2009-12-14 17:16:00,8.65,,United Kingdom
491966,21223,SET/4 BADGES WOODLAND ANIMAL,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21224,SET/4 SKULL BADGES,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21231,SWEETHEART CERAMIC TRINKET BOX,12,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21232,STRAWBERRY CERAMIC TRINKET BOX,21,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21238,RED SPOTTY CUP,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21240,BLUE  SPOTTY CUP,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21241,GREEN SPOTTY CUP,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21242,RED SPOTTY PLATE ,4,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21253,SET OF PICTURE FRAME  STICKERS,5,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21255,"FRENCH BOTTLE , LAVENDER",1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21256,"FRENCH BOTTLE, BRASSERIE DES ARTIST",1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,1,2009-12-14 17:16:00,30.39,,United Kingdom
491966,21266,VINTAGE SILVER TINSEL REEL,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21267,VINTAGE PINK TINSEL REEL ,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21268,VINTAGE BLUE TINSEL REEL,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21286,RETRO SPOT CANDLE  LARGE,1,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21314,SMALL GLASS HEART TRINKET POT,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21329,DINOSAURS  WRITING SET ,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21349,IVY HEART WREATH,1,2009-12-14 17:16:00,13.87,,United Kingdom
491966,21352,EUCALYPTUS & PINECONE  WREATH,1,2009-12-14 17:16:00,13.87,,United Kingdom
491966,21356,TOAST ITS - FAIRY FLOWER,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21357,TOAST ITS - DINOSAUR,3,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21364,PEACE SMALL WOOD LETTERS,1,2009-12-14 17:16:00,13.87,,United Kingdom
491966,21376,LARGE  TALL CAMPHOR WOOD TOADSTOOL ,1,2009-12-14 17:16:00,11.26,,United Kingdom
491966,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21379, CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2009-12-14 17:16:00,2.57,,United Kingdom
